2024/08/16 09:48:35 INFO  Started Worker Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@
2024/08/16 09:48:50 INFO  Starting the workflow. Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1
2024/08/16 09:48:50 INFO  Starting default activity. Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1
2024/08/16 09:48:50 DEBUG ExecuteActivity Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1 ActivityID 5 ActivityType DefaultActivity
2024/08/16 09:48:50 INFO  DefaultActivity starting Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ ActivityID 5 ActivityType DefaultActivity Attempt 1 WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d
2024/08/16 09:49:00 INFO  DefaultActivity finished Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ ActivityID 5 ActivityType DefaultActivity Attempt 1 WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d
2024/08/16 09:49:00 INFO  Selector.HasPending: false Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1
2024/08/16 09:49:00 INFO  At the end of loop, shouldAddDefault: false Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1
2024/08/16 09:49:10 INFO  Received exit signal. Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1 SignalData exit-signal-input
2024/08/16 09:49:10 INFO  Selector.HasPending: false Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1
2024/08/16 09:49:10 INFO  At the end of loop, shouldAddDefault: false Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1
2024/08/16 09:49:10 INFO  Workflow completed. Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_e05fc983-08bc-48b9-9720-6a5f0fe9d306 RunID 122cc023-a510-4d96-94ef-6272c268d76d Attempt 1
2024/08/16 09:49:53 INFO  Starting the workflow. Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_b8b6ac6f-0ef2-41f0-abfa-5df3830e6721 RunID 9e1e7576-8127-4840-bc53-18bf07203040 Attempt 1
2024/08/16 09:49:53 INFO  Starting default activity. Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_b8b6ac6f-0ef2-41f0-abfa-5df3830e6721 RunID 9e1e7576-8127-4840-bc53-18bf07203040 Attempt 1
2024/08/16 09:49:53 DEBUG ExecuteActivity Namespace default TaskQueue signal-lost WorkerID 1058280@ip-10-127-10-132@ WorkflowType WorkflowDefinition WorkflowID signal-lost_b8b6ac6f-0ef2-41f0-abfa-5df3830e6721 RunID 9e1e7576-8127-4840-bc53-18bf07203040 Attempt 1 ActivityID 5 ActivityType DefaultActivity
